grk_names	eng_names	ref_names	asm_names	ben_names	guj_names	kan_names	mal_names	hin_names	mar_names	pun_names	odi_names	tam_names	tel_names	urd_names
2	aaron				હારુન 		അഹരോന്‍	हारून	अहरोन					
6	abel				હાબેલ		ഹാബേല്‍	हाबिल	हाबेल					
7	abijah				અબિયાહ		അബീയാവ്	अबिय्याह	अबीया					
8	abiathar				અબ્યાથાર 		അന്തിപ്പാസ് 	एब्यातार	अब्याथार					
11	abraham				ઇબ્રાહિમ 		അബ്രഹാം	अब्राहम	अब्राहाम 					
28	hagar				હાગાર 		ഹാഗാർ	हाजिरा	हागार 					
76	adam				આદમ		ആദാം	आदम	आदाम					
124	egypt				મિસરી		മിസ്രയീമ്യർ	मिस्री	मिसरी					
125	egypt				મિસર		മിസ്രയീം	मिस्र	मिसर  देश					
128	ethiopia				ઈથોપિયા			इथियोपिया	इथिओपिया					
207	aquila				અકુલા		അക്വിലാസ്	अक्विला	अक्विल्ला 					
406	andrew				આન્દ્રિયા		അന്ത്രെയാസ്	अन्द्रियास	आंद्रिया					
452	annas				આન્નાસ		ഹന്നാവ്	हन्ना	हन्ना					
490	antioch				અંત્યોખ 		അന്ത്യൊക്യ	अन्ताकिया	अंत्युखिया					
491	antioch						അന്ത്യോക്യക്കാരൻ	अन्ताकिया						
625	apollos				આપોલસ 		അപ്പൊല്ലോസ്	अपुल्लोस	अपुल्लो					
688	arabia				આરબ 			अरब	अरबस्तान					
690	arabia				આરબી 			अरबी	अरबी					
760	asa				આસા 		ആസ	आसा	आसा					
768	asher				આશેર			अशेर	अशेरा					
773	asia				આસિયા		ആസ്യ	आसिया	आशिया					
881	ahaz				આહાઝ		ആഹാസ്	आहाज	अहाज					
896	baal				બઆલ		ബാല്‍	बाल	बाल					
897	babylon				બાબિલ		ബാബിലോൺ	बाबेल	बाबेल					
903	balaam				બલામ			बिलाम	बालाम					
912	barabbas				બરાબાસ 		ബറബ്ബാസ്	बरअब्बा	बरब्बा					
918	bartholomew				બર્થોલ્મી		ബർത്തലോമായി	बरतुल्मै	बर्थलमय					
921	barnabas				બાર્નાબાસ 		ബർന്നബാസ് 	बरनबास	बर्णबा					
954	beelzebul				શેતાન		സാത്താന്‍	शैतान	सैतान					
958	benjamin				બિન્યામીન		ബെന്യമീൻ	बिन्यामीन	बन्यामिनी					
960	berea													
961	berea													
963	bethany				બેથાનિયા 		ബെഥാന്യ	बैतनिय्याह	बेथानी					
965	bethlehem				બેથલેહેમ		ബേത്ത്ലേഹെം	बैतलहम	बेथलेहेम					
1003	boaz				બોઆઝ			बोआज	बवाज					
1043	gabriel				ગાબ્રિયેલ 			गब्रिएल	गब्रीएल					
1045	gad				ગાદ		ഗാദ്	गाद	गाद					
1048	gaza						ഗാസ							
1052	galatia				ગલાતિઓ		ഗലാത്യർ	गलाटियन्स	गलतीकर 					
1053	galatia				ગલાતિયા 		ഗലാത്യ	गलातिया	गलती					
1054	galatia													
1056	galilee				ગાલીલ		ഗലീല	गलील	गालील					
1057	galilee				ગાલીલીઓ 		ഗലീലക്കാരന്‍	गलीली	गालीली					
1066	gideon				ગિદિયોન		ഗിദയോന്‍	गिदोन	गिदोन					
1068	gethsemane				ગેથસેમા		ഗെത്ത്ശെമന	गतसमनी	गेथशेमानी 					
1115	golgotha				ગલગથા 		ഗൊല്ഗോഥാ	गुलगुता	गोलगोथा 					
1116	gomorrah				ગમોરા		ഗമോറ	अमोरा	गमोरा 					
