grk_tws	eng_tws	asm_tws	ben_tws	guj_tws	hin_tws	kan_tws	mal_tws	mar_tws	pun_tws	odi_tws	tam_tws	tel_tws	urd_tws	heb_tws
G946	abomination, abominations, abominable, foul, disgusting thing				घृणा, घिनौने, घिनौना									
G5206	adoption, adopt, adopted				लेपालक, गोद लेना, दत्तक									
G3428,G3429,G3430,G3431,G3432	adultery, adulterous, adulterer, adulteress, adulterers, adulteresses				व्यभिचार, व्यभिचारी, व्यभिचारी, व्यभिचारिणी, व्यभिचारी,व्यभिचारिणियों									
G3841	Almighty				सर्वशक्तिमान									
G1041,G2379	altar, altars				वेदी, वेदियों									
G281	amen, truly				आमीन, सच में									
G32,G743,G2465	angel, angels, archangel				स्वर्गदूत, स्वर्गदूतों, प्रधान स्वर्गदूत									
G32,G743,G218,G1472,G2025,G3462,G5545,G5548	anoint, anointed, anointing, sons of fresh olive oil				अभिषेक करना, अभिषिक्त, अभिषेक									
G500	antichrist, antichrists				मसीह का विरोधी, मसीह के विरोधी									
G651, G652, G2491, G5376, G5570	apostle, apostles, apostleship				प्रेरित, प्रेरितों, प्रेरिताई									
G322,G606,G1299,G1303,G1935,G2525,G2749,G4287,G4384,G4929,G5021,G5087	appoint, appoints, appointed, appointment, ordered, desired, directed, selected, reserved				ठहराए, नियुक्त करना, निुयक्त किया									
G2787	ark				जहाज़									
	ark of the covenant, ark of Yahweh				वाचा का सन्दूक, यहोवा का सन्दूक									
G2643	atonement, atone, atones, atoned				प्रायश्चित, प्रायश्चित करना, प्रायश्चित किया जाए, प्रायश्चित किया									
G2435	atonement lid				प्रायश्चित का ढकना									
G831,G1413,G1849,G1850,G2003,G2715,G5247	authority, authorities				अधिकारी, अधिकारियों									
G907	baptize, baptized, baptism				बपतिस्मा देना, बपतिस्मा लिया, बपतिस्मा									
G544,G569,G571,G3982,G4100,G4102,G4103,G4135	believe, believes, believed, believer, belief, unbeliever, unbelievers, unbelief				विश्वास, विश्वास करे, विश्वास किया, विश्वास									
G4100, G4103	believer				विश्वासी									
G25,G27,G5207	beloved, treasured				प्रिय									
G4415	birthright				पहिलौठे का अधिकार									
G273,G274,G298,G338,G410,G423	blameless				निर्दोष									
G987,G988,G989	blasphemy, blaspheme, blasphemes, blasphemed, blasphemous, blasphemies				निन्दा, निन्दा, निन्दा की, निन्दा करना, निन्दक									
G1757,G2127,G2128,G2129,G3106,G3107,G3108,G6050	bless, blessed, blessing, blessings				आशीष, धन्य, आशीर्वाद									
G129,G130,G131,G1420	blood				लहू									
G212,G213,G2620,G2744,G2745,G2746,G3166	boast, boasts, boastful				घमण्ड, घमण्ड करना, घमण्डी									
G4430,G4954,G4983,G5559	body, bodies				देह, शरीरों									
G254,G331,G332,G1195,G1196,G1198,G1199,G1210,G1397,G1398,G1401,G1402,G2611,G2615,G3734,G3784,G3814,G4019,G4029,G4385,G4886,G4887,G5265	bind, binding, bond, bonds, bound, is bound, tie, tying, tie up, tied, tied up, put on, puts on, gird up, fetters, chains				बांधना, बन्धन, बाँधा									
G313, G509, G1080, G3824	born again, born of God, new birth				नए सिरे से जन्म लेना, परमेश्‍वर से जन्मा है, नए जन्म									
G80,G81,G2385,G2455,G2500,G4613,G5360,G5569	brother, brothers				भाई, भाइयों									
G154,G363,G1458,G1528,G1941,G1951,G2028,G2046,G2564,G2821,G2822,G2840,G2919,G3004,G3106,G3333,G3343,G3603,G3686,G3687,G4316,G4341,G4377,G4779,G4867,G5455,G5537,G5581	call, calls, calling, called, invite				बुलाना, पुकारे, पुकारना, कहलाता									
G1543, G2760	centurion, centurions				सूबेदार, सूबेदारों									
G730,G815,G1025,G1064,G1471,G3439,G3515,G3516,G3808,G3812,G3813,G3816,G5040,G5041,G5042,G5043,G5044,G5206,G5207,G5388	children, child				बच्चे, बालक									
G3323,G5547	Christ, Messiah				मसीह, मसीहा									
G5546	Christian				मसीही									
G1577	church, churches, Church				कलीसिया, कलीसियाओं, कलीसिया									
G203,G1986,G4059,G4061	circumcise, circumcised, circumcision, uncircumcised, uncircumcision				खतना करना, खतना किया, खतना									
G2511,G2512,G2513,G3689	clean, cleans, cleaned, cleanse, cleansed, cleansing, wash, washing, washed, washes, unclean				शुद्ध, शुद्ध करेगा, शुद्ध किया, शुद्ध करना, शुद्ध, शुद्ध होने, धुलाई, धुलाई, धोया, धोया									
G1263,G1291,G1296,G1297,G1299,G1690,G1778,G1781,G1785,G2003,G2004,G2008,G2036,G2753,G3056,G3726,G3852,G3853,G4367,G4483,G4487,G5506	command, commands, commanded, commandment, commandments				आज्ञा, आज्ञाएँ, आज्ञा दी, आज्ञा, आज्ञाएं									
G1653,G3356,G3627,G4697,G4834,G4835	compassion, compassionate, deal gently with				तरस, दयालु									
G176,G843,G2607,G2613,G2631,G2632,G2633,G2917,G2919,G2920,G5272,G6048	condemn, condemns, condemned, condemnation, sentence of condemnation, sentenced to death				दोष लगाना, दोषी, निन्दा, दण्ड की आज्ञा									
G1843,G3670,G3671	confess, confessed, confesses, confession				मान लेगा, मानकर, मान लेगा, अंगीकार									
G4893	conscience, consciences				विवेक, विवेक									
G1457,G5048	consecrate, consecrated, consecration				पवित्र करना, पवित्र ठहरेगा, संस्कार									
G204,G1137,G2776,G3037	cornerstone, cornerstones				कोने का पत्थर, प्रधान									
G802,G1242,G4934	covenant, covenants, new covenant, agreed				वाचा, वाचाओं									
	covenant faithfulness, covenant loyalty, loving kindness, unfailing love, steadfast love				करुणा									
G4716	cross				क्रूस									
G388, G4362, G4717, G4957	crucify, crucified, nailing to a cross				क्रूस पर चढ़ा, क्रूस पर चढ़ाया									
G331,G332,G685,G1944,G2551,G2652,G2653,G2671,G2672,G6035	curse, cursed, curses, cursing, speaks evil				श्राप, श्रापित, श्राप दे, कोसता है									
	daughter of Zion				सिय्योन की बेटी									
G2250,G2962	day of the Lord, day of Yahweh				प्रभु का दिन, यहोवा का दिन									
G1249	deacon, deacons				सेवक, सेवकों									
G169,G1139,G1140,G1141,G1142,G4190,G4151,G4152,G4189	demon, evil spirit, unclean spirit, demonic				दुष्टात्मा, दुष्ट आत्मा, अशुद्ध आत्मा									
G1139	demon-possessed, possessed by a demon, possessed by demons				दुष्टात्माएँ थीं									
G3100,G3101,G3102	disciple, disciples				चेला, चेले									
	discipline, disciplines, disciplined, self-discipline, no discipline				ताड़ना, ताड़ना देता, ताड़ना करते, आत्म संयम									
G2304, G2999	divine, divine nature				ईश्वरीय									
G2634,G2904,G2961,G2963	dominion, subjugate, control				प्रभुता									
G138,G140,G1586,G1588,G1589,G1951,G4400,G4401,G4758,G4899,G5500	elect, choose, chose, chosen, chosen one, chosen ones, chosen people, Chosen One				चुना हुआ, चुने हुए, चुनना, चुने लोग, चुना हुआ, चुनना।									
	ephod				एपोद									
G126,G165,G166	eternity, everlasting, eternal, forever				सनातन, अनन्त, अनंत काल									
G2134,G2135	eunuch, eunuchs				खोजे, खोजों									
G2099	evangelist, evangelists				सुसमाचार प्रचारक, सुसमाचार सुनानेवाले									
G92,G113,G459,G932,G987,G988,G1426,G2549,G2551,G2554,G2555,G2556,G2557,G2559,G2560,G2635,G2636,G4151,G4189,G4190,G4191,G5337	evil, wicked, wickedness, wickedly				बुराई, दुष्ट, दुष्टता									
G1869,G5229,G5251,G5311,G5312	exalt, exalted, exalts, exaltation, high position				ऊँचा, ऊँचा किया, बढ़ाता, आनन्द									
G3867, G3870, G3874, G4389	exhort, exhortation, urge				समझा, उपदेश									
G1680,G3640,G4102,G6066	faith				विश्वास									
G4103	faithful, faithfulness, unfaithful, unfaithfulness, breach of faith, show self faithful, faithful one, faithful people				विश्वासयोग्य, विश्वासयोग्यता									
G571	faithless, faithlessness				भटकनेवाली, विश्वासघात									
G2299	god, false god, gods, goddess, idol, idols, idolater, idolaters, idolatrous, idolatry, disgusting figure, goat idols				देव, देवों, देवी									
G1184,G3685,G4380,G5485,G5486	favor, favors, favorable, favoritism				अनुग्रह, पक्ष, पक्षपात, पक्ष									
G870,G1167,G1168,G1169,G1630,G1719,G2124,G2125,G2962,G5398,G5399,G5400,G5401	fear, fears, afraid				डर, भय, डरना									
G2842,G2844,G3352,G4790	fellowship, be participants with, associate with, be allied with				सहभागिता									
G40, G4130, G4137, G4151	filled with the Holy Spirit				पवित्र आत्मा से भर गए									
G2907,G4559,G4560,G4561	flesh, meat, humans, living creatures				माँस									
G453,G454,G781,G801,G877,G878,G3471,G3472,G3473,G3474,G3912	fool, fools, foolish, folly, out of mind, unwise, stupid, doing what is repulsive, blame				मूर्ख, मुर्ख लोग, मूर्ख, मूर्खता									
G165,G166,G1336	forever				सर्वदा									
G859,G863,G5483	forgive, forgives, forgiven, forgiveness, pardon, pardoned				क्षमा कर, क्षमा करता, क्षमा किया, क्षमा									
G646,G657,G863,G1459,G2641,	forsake, forsakes, forsaken, forsook, abandon, abandoned, give up, has left, have left				छोड़ना, छोड़ देता, छोड़ दिया, त्याग कर									
G1096,G4138	fulfill, fulfilled, carried out				पूरा कर, पूरा हुआ									
G1482,G1484,G1672	Gentile, Gentiles				अन्यजाति, अन्यजातियों									
G334,G1390,G1394,G1431,G1434,G1435,G3311,G5486	gift, gifts				दान, भेंटों									
G1392,G1740,G4888	glorify				महिमा करे, महिमा होती है									
G1391,G1741,G2620,G2744,G2745,G2746,G2755,G2811	glory, glorious, glorify, glorified, glorifies				महिमा, महिमामय									
G112,G516,G932,G935,G1096,G1140,G2098,G2124,G2128,G2150,G2152,G2153,G2299,G2304,G2305,G2312,G2313,G2314,G2315,G2316,G2317,G2318,G2319,G2320,G3361,G3785,G4151,G5207,G5377,G5463,G5537,G5538	God				परमेश्‍वर									
G516,G2124,G2150,G2152,G2153,G2316,G2317	godly, godliness, ungodly, godless, ungodliness, godlessness, godless actions, godly life				धर्मी, भक्ति									
G3962	God the Father, heavenly Father, Father				परमेश्वर पिता, स्वर्गीय पिता, पिता									
G14,G15,G18,G19,G515,G744,G865,G979,G1380,G2095,G2097,G2106,G2107,G2108,G2109,G2114,G2115,G2133,G2140,G2162,G2163,G2174,G2293,G2565,G2567,G2570,G2573,G2887,G2986,G3140,G3617,G3776,G4147,G4632,G4674,G4851,G5223,G5224,G5358,G5542,G5543,G5544	good, goodness, pleasing				अच्छा, भलाई									
G2097, G2098, G4283	good news, gospel				शुभ समाचार, सुसमाचार									
G2143,G5485,G5543	grace, gracious, kind				अनुग्रह, अनुग्रहकारी									
G338,G1777,G3784,G5267	guilt, guilty, held accountable				दोष, दोषी ठहरा									
G86	Hades, Sheol				अधोलोक, अथाह-कुण्ड									
G674,G1282,G1271,G2133,G2588,G2589,G4641,G4698,G5590	heart, hearts, inner self, myself				हृदय, मन									
G932,G2032,G3321,G3770,G3771,G3772	heaven, sky, skies, heavens, heavenly, overhead, in midair				स्वर्ग, आकाश, आकाशमण्डल, स्वर्गीय									
G1444,G1445,G1446,G1447	Hebrew, Hebrews				इब्रानी, इब्रानियों									
G86,G439,G440,G1067,G3041,G4442,G4443,G4447,G4448,G5020,G5394,G5457	hell, lake of fire, handed down to Tartarus				नरक, आग की झील									
G748,G749	high priest				महायाजक									
G37,G38,G39,G40,G41,G42,G1859,G2150,G2412,G2413,G3741,G3742,	holy, holiness, unholy, sacred				पवित्र, पवित्रता									
G40,G3741	Holy One				पवित्र									
G39,G40,G3485,G5117	holy place				पवित्रस्‍थान									
G40,G4151	Holy Spirit, Spirit of God, Spirit of the Lord, Spirit				पवित्र आत्मा, परमेश्वर की आत्मा, प्रभु की आत्मा, आत्मा									
G820,G1391,G1392,G1784,G2151,G2570,G3170,G4411,G4586,G5091,G5092,G5093,G5399	honor, honors				आदर, आदर करते हैं, आदर करना									
G91,G560,G1679,G1680,G2070	hope, hoped, hopes				आशा, आशा, आशाएं									
G2316,G3624	house of God, Yahwehs house				परमेश्‍वर के भवन,  यहोवा के भवन									
G858,G4236,G4239,G4240,G5011,G5012,G5013,G5391	humble, humbles, humbled, humility				दीन, विनम्र, नम्र बनाया, नम्रता									
G505,G5272,G5273	hypocrite, hypocrites, hypocrisy				कपटी, कपटियों, कपट									
G504,G179	image of God				परमेश्‍वर का प्रतिरूप, स्वरूप									
G1519, G2962, G5547	in Christ, in Jesus, in the Lord, in him				मसीह में, यीशु में, प्रभु में, उसमें									
G2816,G2817,G2819,G2820	inherit, inheritance, heritage				अधिकारी होना, वंश, भाग, वारिस									
G92,G93,G458,G3892,G4189	iniquity, iniquities				अधर्म, अधर्मों									
G121	innocent, innocence, guiltless				निर्दोष									
G1783,G1793,G5241	intercede, intercededs, intercession				प्रार्थना किया, मध्यस्थता की, मध्यस्थता									
G935,G2474,G2475	Israel, Israelites				इस्राएल, इस्राएली									
G2205,G3863	jealous, jealousy				जलन, ईर्ष्या									
G2424, G5547	Jesus, Jesus Christ, Christ Jesus				यीशु, यीशु मसीह, मसीह यीशु									
G2450,G2451,G2452,G2453,G2454	Jew, Jewish, Jews				यहूदी, यहूदियों का, यहूदियों									
G144,G350,G968,G1106,G1252,G1341,G1345,G1348,G1349,G2917,G2919,G2920,G2922,G2923,G4232	judge, judges, judgment, judgments, decision				न्यायी, न्याय करता, न्याय, निर्णय									
G2250,G2920,G2962	judgment day, that day				दण्ड के दिन									
G1342,G1344,G1345,G1346,G1347,G1738	just, justice, unjust, unjustly, injustice, justly, justify, justification				सच्चा, न्याय, न्याय से									
G1344,G1345,G1347	justify				धर्मी ठहराएगा, धार्मिकता									
G932, G2316, G3772	kingdom of God, kingdom of heaven				परमेश्‍वर का राज्य, स्वर्ग का राज्य									
G935, G2453	King of the Jews, king of the Jews				यहूदियों का राजा, यहूदियों का राजा									
G721,G2316	lamb, Lamb of God				मेम्‍ना, परमेश्‍वर का मेम्‍ना									
G2354,G2355,G2870,G2875	lament, laments, lamentation, wail				विलाप, विलाप करना, विलाप किया									
G2078,G2250	last day, last days, latter days				आखरी दिन, अन्तिम दिनों, अन्त के दिनों									
G2316,G3551,G3565	law of Moses, Gods law, law of Yahweh, the law, expert in the law				व्यवस्था, मूसा की व्यवस्था, परमेश्वर की व्यवस्था, यहोवा की व्यवस्था									
